JOB PROFILE,TOOLS
product manager (e-commerce,"marketing, retail, e-commerce, b2b, excel, powerpoint, office suite"
sr server engineer(network,"server engineer, network systems maintenance & implementation, evaluation/analysis, plan/strategy, upgrading, ms visio"
java web developer,"java, springmvc, hibernate, linux, jenkins, git"
java developer w/big,see job overview.
technical opportunity manager,"consulting, ibm, manager, sales, video"
senior full stack,"degree, oo design, java, jsp, spring mvc"
ios / mobile,"android development, innovative spirit, api experience, cache experience, strong unit testing, continuous integration exp."
hp opsa operations,hp opsa operations analytics
ui developer (15),"angular.js, html5, css3, bootstrap, jquery"
mobile developer /,"mobile, swift, java', 'mobile, swift, java"
sr. business intelligence,"architecture, automotive, business intelligence, css, data warehouse, hadoop, http, informatica, java, javascript, oracle, programming, project, python, sales, security, sql, supervision, supply chain, telecommunications, wireless"
splunk consultant  ,"splunk certification, network engineering, linux/unix, network security, hips/hids, java, python, and ruby."
brm developer -,"degree, brm, siebel, oracle, c, c++"
sr. application/software packaging,see job overview.
full stack devloper,"javascript, html, css, reactjs, sql, nosql, databases, cassandra, es6, react, redux"
financial systems analyst,"sql, ssrs', 'gaap sox it accounting uat qa general ledger sow ""financial systems analyst"" accounting"
senior web developer,"java, spring, angularjs, rest"
senior application software,"knowledge management, kip, kana enterprise"
tier 2 support,"analyst, automated, crm, database, development, dns, foundation, postgresql, research, sas, sales, salesforce, security, sql, sql server"
microstrategy system administrator,"apache/tomcat, oracle 9i, 10g, 11i, red hat linux, korn shell script', 'microstrategy system administrator"
.net developer -,"c#, asp.net, front end development, javascript, html, css, ajax, sql, object oriented design, degree', 'c#, asp.net, front end development, javascript, html, css, ajax, sql, object oriented design, degree"
front-end developer /,"javascript, ember, css"
medical staff assistant,medical staff assistant
sr. peoplesoft functional,ar/bi peoplesoft
linux systems administrator,"linux, bpe,tpe,cics , z/os, vse/esa', 'linux, clustering, administration, systems, storage, biochemistry, servers', 'linux systems administrator', 'unix, linux, solaris, rhel, redhat, red hat, systems administration, sys admin, server administration, systems engineering, security+, comptia, certification, vmware, san, rac', 'linux, perl, shell"
senior ip design,"algorithms, analysis, ansi, architecture, cam, ccnp, cisco, ethernet, http, ieee, ios, lan, management, networking, networks, outlook, physics, protocols, python, rf, router, ruby, simulation, sonet, tcp/ip, telecommunications, testing, unix, video, vmware"
systems engineer (lead/,"systems engineer, windows, sccm, scom, iis, treat management gateway, tmg, vertulization, datacenter, iis server"
ssas/ssrs bi developer,"ssas, ssrs, reporting services, analysis services"
workday student records,significant he experience in student records - workday certification preferred. note: candidates can live anywhere in us - 50% travel / 50% remote role
tanium security engineer,tanium security experience
automotive/ infotainment test,"automotive. infotainment, qa"
"developer/analyst, wholesale bio",see job description
operations analyst  ,operations analyst with change management experience
aster admin /,"aster db, teradata, amc"
software business analyst,"agile', 'software, business analyst, development"
software/solution architect  ,"javascript, uml, mean stack, lamp stack"
internal / sox,"sox 404, cia, cpa, sox, internal audit, cpa"
lead developer/head of,"javascript, angularjs"
senior software engineer,"ruby, javascript, ember or angular"
business analyst-server based,microsoft project/sharepoint workspace
technical implementation project,"develops time and cost estimates, project plans/schedules, and budgets. oversees and controls ongoing costs, schedules, resources, scope, and risks"
release and configuration,release and configuration co-ordinator
senior solutions architect,java
urgent postions ###,ios developer
exchange engineer/systems engineer,"exchange engineer, message troubleshoot, windows"
data warehouse manager/data,"power bi, azure, data warehouse, architect, microsoft, sql server (ssis, ssas), .net, sharepoint 2007/2010"
mysql dba/architect  ,"mysql, linux, cloud, python"
tpf architect  ,"tpf architect, c++, bal, sabretalk, ztpf, tpfdf, ibm toolkit/debugger"
sr. c# developer,"c#, angular, wcf, wpf', 'c#, multi-threading , wpf , asp.net ,javascript, css , htnl, t- sql and powershell.', 'c#, .net, sql, angular"
technical architect  ,"architecture, automotive, business requirements, case, database, development, linux, modeling, project, unix', 'technical architect, java, healthcare, it architecture, software development', 'java, .net, c++,html, javascript, css', 'sql, table creation,', 'cloud foundry/pivotalcloud/architect', 'sql, table creation,', 'architect', 'technical architect - unix/linux, financial"
senior java developer/architect,"java, angularjs, aws, apache cloudstack, google cloud, xp', 'java, angularjs, aws, apache cloudstack, google cloud, xp"
mobile solutions architect,"strong mobile architecture experience, strong native mobile development experience, strong api experience"
senior .net web,"c#, javascript, html5, css, unit testing"
staff sw product,embedded
business unit data,"sql server, ssrs, ssas, ssis, power bi, analytical experience"
director of technically,"saas, iot, devopps, cloud, leadership"
project manager with,"pm,ba,sql,msproject"
oracle system adminstartor,"system administration, security"
cloud integration architect,"hands-on public cloud (iaas), 5+ years of experience in automation, orchestration, and configuration management mechanisms and concepts"
c# wpf .net,"minimum of 7 years of experience in object oriented design and development (c#, c++, java)"
system/network administrator  ,"windows server administration, exchange, virtualization, network, vmware', 'linux, network administrator, networks, os x, windows"
plex erp business,plex erp business analyst
"manager, technical operations",memberedge
business analyst -,"sql queries,sql navigator"
associate product manager,"marketing, advertising, consulting, retail, e-commerce, excel, powerpoint, microsoft office suite, data analysis"
product manager  ,"product manager,product head,product owner,product developer,product management,product delivery"
android / mobile,"android development experience, android sdk / adt / studio, third party library / framework knowledge"
firewall security  ,"any firewall exp. is acceptable, entry level to senior level"
mid-senior level devops,"linux, redhat, centos, python, bash, ansible, puppet, chef"
technical analyst ii,"windows server, system center, sql server, exchange server, vmware vsphere, iscsi sans, cisco lan/wan network infrastructures and managed wireless infrastructures."
sr. sap mm,sap mm
mid-level it risk,"security, it risk compliance, auditing"
scrum master &,"scrum master, system analysis, project manager, ms project"
senior systems administrator,"systems and network administration, enterprise, linux', 'systems and network administration, enterprise, linux"
technical implementation project,"""microsoft office"", ""ms project"", ""pmp certification"", ""presentation skills"", ""project management"", ""sharepoint"", ""team work"""
software quality assurance,"api testing; soapui; junit, selenium"
crm project manager,"degree, project management, ms project"
